timestamp_envio,timestamp_respuesta,exito,replica
1788283511.174037,1788283511.178303,1,B
1788283511.223742,1788283511.228630,1,A
1788283511.273728,1788283511.278381,1,A
1788283511.324013,1788283511.328519,1,A
1788283511.374090,1788283511.395295,1,B
1788283511.423763,1788283511.454519,1,A
1788283511.474064,1788283511.516704,1,A
1788283511.523685,1788283511.528260,1,A
1788283511.573761,1788283511.578351,1,A
1788283511.623805,1788283511.643307,1,B
1788283511.673888,1788283511.689548,1,A
1788283511.724056,1788283511.749335,1,A
1788283511.773969,1788283511.778377,1,A
1788283511.823764,1788283511.828231,1,A
1788283511.874111,1788283511.891271,1,B
1788283511.924104,1788283511.951706,1,A
1788283511.973754,1788283512.013806,1,A
1788283512.024010,1788283512.047254,1,B
1788283512.073672,1788283512.093201,1,B
1788283512.123937,1788283512.128228,1,A
1788283512.173643,1788283512.201714,1,A
1788283512.223869,1788283512.262238,1,A
1788283512.273868,1788283512.308352,1,B
1788283512.323839,1788283512.339113,1,A
1788283512.373677,1788283512.378506,1,A
1788283512.423906,1788283512.462530,1,A
1788283512.473929,1788283512.479043,1,A
1788283512.523732,1788283512.555890,1,A
1788283512.573799,1788283512.588970,1,A
1788283512.623966,1788283512.651260,1,B
1788283512.673804,1788283512.696168,1,A
1788283512.723653,1788283512.756775,1,A
1788283512.773976,1788283512.778473,1,A
1788283512.823770,1788283512.834066,1,A
1788283512.873897,1788283512.911093,1,A
1788283512.923748,1788283512.944257,1,A
1788283512.973949,1788283513.004210,1,B
1788283513.023778,1788283513.028004,1,A
1788283513.073920,1788283513.078901,1,A
1788283513.123829,1788283513.128294,1,A
1788283513.173819,1788283513.192703,1,A
1788283513.223642,1788283513.252254,1,A
1788283513.273678,1788283513.278928,1,A
1788283513.323966,1788283513.327977,1,B
1788283513.373933,1788283513.407908,1,C
1788283513.424078,1788283513.428642,1,A
1788283513.473954,1788283513.503245,1,B
1788283513.523851,1788283513.548151,1,A
1788283513.573968,1788283513.597760,1,A
1788283513.623794,1788283513.644104,1,A
1788283513.673959,1788283513.678498,1,A
1788283513.723999,1788283513.752550,1,A
1788283513.773769,1788283513.797197,1,A
1788283513.824016,1788283513.828328,1,A
1788283513.874073,1788283513.891929,1,B
1788283513.923821,1788283513.928183,1,B
1788283513.974043,1788283513.978244,1,A
1788283514.023876,1788283514.028450,1,A
1788283514.074143,1788283514.078248,1,A
1788283514.123722,1788283514.127737,1,A
1788283514.173902,1788283514.201272,1,A
1788283514.223829,1788283514.228362,1,A
1788283514.273690,1788283514.293424,1,A
1788283514.323772,1788283514.328341,1,B
1788283514.374048,1788283514.416375,1,A
1788283514.424097,1788283514.428409,1,A
1788283514.474025,1788283514.509355,1,C
1788283514.523770,1788283514.528074,1,A
1788283514.573740,1788283514.602648,1,A
1788283514.624093,1788283514.648778,1,A
1788283514.674362,1788283514.679109,1,A
1788283514.723918,1788283514.742389,1,A
1788283514.773776,1788283514.778576,1,A
1788283514.823997,1788283514.828504,1,A
1788283514.873808,1788283514.883109,1,B
1788283514.923740,1788283514.928037,1,A
1788283514.974110,1788283514.993146,1,A
1788283515.024049,1788283515.040079,1,A
1788283515.074020,1788283515.078169,1,B
1788283515.124122,1788283515.162452,1,B
1788283515.173734,1788283515.178080,1,A
1788283515.223912,1788283515.239435,1,A
1788283515.273918,1788283515.302520,1,C
1788283515.323927,1788283515.328618,1,A
1788283515.374113,1788283515.377687,1,A
1788283515.423642,1788283515.441351,1,B
1788283515.473850,1788283515.781187,1,A
1788283515.781205,1788283516.091568,1,A
1788283516.091593,1788283516.416832,1,A
1788283516.416850,1788283516.729759,1,A
1788283516.729778,1788283517.040460,1,A
1788283517.040477,1788283517.366268,1,A
1788283517.366300,1788283517.677059,1,A
1788283517.677082,1788283517.680800,1,A
1788283517.680818,1788283517.684062,1,A
1788283517.684075,1788283517.724626,1,C
1788283517.724648,1788283517.728260,1,A
1788283517.728280,1788283517.732260,1,A
1788283517.732284,1788283517.756485,1,C
1788283517.756504,1788283517.760623,1,A
1788283517.760646,1788283517.764810,1,A
1788283517.764835,1788283517.787593,1,A
1788283517.787611,1788283517.790947,1,C
1788283517.790966,1788283517.794601,1,A
1788283517.794623,1788283517.798025,1,A
1788283517.798041,1788283517.820611,1,C
1788283517.820634,1788283517.824391,1,A
1788283517.824411,1788283517.827986,1,A
1788283517.828004,1788283517.831219,1,A
1788283517.831234,1788283517.834683,1,A
1788283517.834701,1788283517.849804,1,A
1788283517.849827,1788283517.853493,1,A
1788283517.853512,1788283517.895461,1,A
1788283517.895475,1788283517.912057,1,C
1788283517.912078,1788283517.941911,1,C
1788283517.941924,1788283517.958957,1,A
1788283517.958969,1788283517.988537,1,C
1788283517.988549,1788283518.020035,1,A
1788283518.020054,1788283518.035487,1,A
1788283518.035500,1788283518.038766,1,A
1788283518.038787,1788283518.066245,1,C
1788283518.066263,1788283518.082003,1,A
1788283518.082016,1788283518.099533,1,C
1788283518.099557,1788283518.115206,1,A
1788283518.115229,1788283518.118773,1,A
1788283518.118790,1788283518.144031,1,A
1788283518.144053,1788283518.147593,1,A
1788283518.147608,1788283518.160895,1,C
1788283518.160914,1788283518.175422,1,A
1788283518.175441,1788283518.206926,1,A
1788283518.206944,1788283518.223653,1,A
1788283518.223678,1788283518.252372,1,C
1788283518.252390,1788283518.268245,1,C
1788283518.268265,1788283518.271785,1,C
1788283518.271802,1788283518.274687,1,A
1788283518.274703,1788283518.299420,1,C
1788283518.299447,1788283518.315582,1,C
1788283518.315600,1788283518.318902,1,A
1788283518.318922,1788283518.346481,1,A
1788283518.346495,1788283518.363889,1,C
1788283518.363907,1788283518.379248,1,C
1788283518.379277,1788283518.393266,1,C
1788283518.393288,1788283518.409045,1,C
1788283518.409061,1788283518.424345,1,A
1788283518.424368,1788283518.441537,1,C
1788283518.441559,1788283518.455170,1,C
1788283518.474144,1788283518.477911,1,A
1788283518.523668,1788283518.548562,1,C
1788283518.574139,1788283518.594782,1,C
1788283518.624120,1788283518.655929,1,C
1788283518.674069,1788283518.689228,1,C
1788283518.723892,1788283518.750484,1,C
1788283518.773645,1788283518.797048,1,A
1788283518.824266,1788283518.842023,1,A
1788283518.873733,1788283518.877607,1,A
1788283518.923718,1788283518.950127,1,C
1788283518.973783,1788283519.009708,1,C
1788283519.023798,1788283519.027287,1,A
1788283519.073833,1788283519.103264,1,A
1788283519.123731,1788283519.149141,1,C
1788283519.174111,1788283519.195634,1,C
1788283519.223898,1788283519.258086,1,A
1788283519.274051,1788283519.278095,1,A
1788283519.323795,1788283519.337611,1,A
1788283519.373832,1788283519.377819,1,C
1788283519.423958,1788283519.445932,1,A
1788283519.473896,1788283519.506505,1,C
1788283519.523690,1788283519.527563,1,A
1788283519.573963,1788283519.577914,1,C
1788283519.623651,1788283519.645697,1,C
1788283519.673906,1788283519.692743,1,C
1788283519.723956,1788283519.754921,1,C
1788283519.774047,1788283519.777913,1,A
1788283519.823976,1788283519.849263,1,C
1788283519.873674,1788283519.909679,1,C
1788283519.924010,1788283519.940958,1,A
1788283519.974064,1788283519.988526,1,C
1788283520.023684,1788283520.064226,1,C
1788283520.074120,1788283520.078018,1,A
1788283520.123948,1788283520.158299,1,C
1788283520.173665,1788283520.204533,1,A
1788283520.223750,1788283520.267321,1,A
1788283520.273664,1788283520.277452,1,A
1788283520.323975,1788283520.328139,1,A
1788283520.373791,1788283520.377557,1,A
1788283520.423665,1788283520.427471,1,A
1788283520.473764,1788283520.516210,1,A
1788283520.524082,1788283520.549269,1,A
1788283520.573842,1788283520.595436,1,A
1788283520.624058,1788283520.642464,1,A
1788283520.673987,1788283520.677883,1,A
1788283520.723882,1788283520.748655,1,C
1788283520.773711,1788283520.777750,1,A
1788283520.824039,1788283520.843626,1,A
1788283520.873744,1788283520.877543,1,A
1788283520.923978,1788283520.951866,1,A
1788283520.974056,1788283521.012094,1,C
1788283521.023807,1788283521.042401,1,A
1788283521.073804,1788283521.089113,1,A
1788283521.124102,1788283521.151195,1,C
1788283521.174013,1788283521.197724,1,A
1788283521.223742,1788283521.227794,1,A
1788283521.273918,1788283521.306616,1,C
1788283521.324035,1788283521.353194,1,C
1788283521.373773,1788283521.401538,1,C
1788283521.423997,1788283521.462691,1,A
1788283521.474106,1788283521.494775,1,C
1788283521.523961,1788283521.541248,1,A
1788283521.573761,1788283521.602478,1,C
1788283521.624033,1788283521.648720,1,C
1788283521.674103,1788283521.695751,1,C
1788283521.723864,1788283521.742306,1,C
1788283521.773799,1788283521.777612,1,A
1788283521.823724,1788283521.852526,1,A
1788283521.873913,1788283521.896398,1,A
1788283521.923954,1788283521.927707,1,A
1788283521.974058,1788283521.978480,1,A
1788283522.023873,1788283522.066735,1,A
1788283522.073894,1788283522.099107,1,A
1788283522.124048,1788283522.128050,1,A
1788283522.174027,1788283522.190907,1,C
1788283522.224029,1788283522.237876,1,A
1788283522.273806,1788283522.313179,1,C
1788283522.323976,1788283522.343851,1,C
1788283522.373974,1788283522.377679,1,A
1788283522.423970,1788283522.452769,1,A
1788283522.473820,1788283522.500170,1,A
1788283522.524121,1788283522.527673,1,C
1788283522.573812,1788283522.577622,1,A
1788283522.623989,1788283522.627801,1,A
1788283522.673645,1788283522.700774,1,A
1788283522.724033,1788283522.748623,1,A
1788283522.773671,1788283522.795676,1,A
1788283522.823958,1788283522.840840,1,A
1788283522.874075,1788283522.903131,1,C
1788283522.924095,1788283522.950109,1,A
1788283522.974051,1788283522.996298,1,C
1788283523.023918,1788283523.057569,1,A
1788283523.073791,1788283523.078318,1,A
1788283523.123688,1788283523.127556,1,A
1788283523.174126,1788283523.212202,1,A
1788283523.223682,1788283523.227992,1,C
1788283523.273748,1788283523.289517,1,A
1788283523.323847,1788283523.328024,1,A
1788283523.374083,1788283523.396447,1,C
1788283523.424066,1788283523.459457,1,A
1788283523.473900,1788283523.489672,1,C
1788283523.523991,1788283523.538031,1,C
1788283523.573768,1788283523.600178,1,A
1788283523.623811,1788283523.644032,1,A
1788283523.673832,1788283523.677662,1,A
1788283523.723977,1788283523.752819,1,A
1788283523.773705,1788283523.815338,1,A
1788283523.823761,1788283523.827521,1,A
1788283523.873665,1788283523.877650,1,A
1788283523.923894,1788283523.941496,1,A
1788283523.973635,1788283523.977356,1,A
1788283524.023996,1788283524.063934,1,C
1788283524.073776,1788283524.097196,1,A
1788283524.124139,1788283524.128033,1,A
1788283524.173670,1788283524.188211,1,A
1788283524.224093,1788283524.251289,1,A
1788283524.273681,1788283524.312068,1,A
1788283524.323777,1788283524.358794,1,C
1788283524.373724,1788283524.406560,1,C
1788283524.424014,1788283524.452797,1,A
1788283524.473738,1788283524.500563,1,C
1788283524.523837,1788283524.527670,1,A
1788283524.573669,1788283524.591632,1,C
1788283524.623898,1788283524.627859,1,A
1788283524.673633,1788283524.677426,1,A
1788283524.724074,1788283524.763123,1,C
1788283524.773786,1788283524.792948,1,A
1788283524.823758,1788283524.827602,1,C
1788283524.873943,1788283524.902202,1,C
1788283524.923902,1788283524.964036,1,C
1788283524.973949,1788283524.978182,1,A
1788283525.023753,1788283525.057728,1,C
1788283525.073935,1788283525.078009,1,A
1788283525.123936,1788283525.137968,1,A
1788283525.174072,1788283525.177584,1,A
1788283525.223887,1788283525.260177,1,C
1788283525.273774,1788283525.291000,1,C
1788283525.323936,1788283525.328120,1,C
1788283525.373840,1788283525.400157,1,A
1788283525.423698,1788283525.447865,1,A
1788283525.473690,1788283525.494574,1,A
1788283525.523988,1788283525.527966,1,A
1788283525.574017,1788283525.602806,1,A
1788283525.623897,1788283525.648159,1,A
1788283525.673864,1788283525.695987,1,A
1788283525.724003,1788283525.740650,1,A
1788283525.773752,1788283525.802667,1,C
1788283525.824056,1788283525.828101,1,A
1788283525.873971,1788283525.897366,1,A
1788283525.923775,1788283525.943198,1,C
1788283525.973680,1788283525.988623,1,C
1788283526.023837,1788283526.050645,1,A
1788283526.074105,1788283526.098013,1,A
1788283526.123890,1788283526.127949,1,C
1788283526.173915,1788283526.188814,1,C
1788283526.223763,1788283526.252758,1,C
1788283526.273885,1788283526.277771,1,A
1788283526.324129,1788283526.359355,1,A
1788283526.373854,1788283526.390885,1,C
1788283526.423675,1788283526.452155,1,C
1788283526.474118,1788283526.514034,1,C
1788283526.524081,1788283526.545342,1,C
1788283526.573882,1788283526.591954,1,C
1788283526.623667,1788283526.639318,1,A
1788283526.673860,1788283526.716313,1,A
1788283526.724108,1788283526.727863,1,C
1788283526.774105,1788283526.777837,1,A
1788283526.823892,1788283526.828178,1,A
1788283526.874090,1788283526.902369,1,C
1788283526.923810,1788283526.950819,1,C
1788283526.973956,1788283526.996130,1,C
1788283527.023711,1788283527.027659,1,A
1788283527.073642,1788283527.077499,1,A
1788283527.124096,1788283527.149901,1,A
1788283527.174113,1788283527.177981,1,A
1788283527.224099,1788283527.242445,1,A
1788283527.273782,1788283527.304317,1,A
1788283527.324072,1788283527.349688,1,A
1788283527.374110,1788283527.397654,1,C
1788283527.424130,1788283527.427903,1,C
1788283527.473658,1788283527.489179,1,C
1788283527.523846,1788283527.552800,1,C
1788283527.573678,1788283527.598887,1,C
1788283527.624058,1788283527.627794,1,A
1788283527.673712,1788283527.692576,1,A
1788283527.723954,1788283527.740495,1,C
1788283527.774041,1788283527.799901,1,A
1788283527.823750,1788283527.846935,1,A
1788283527.873950,1788283527.909030,1,A
1788283527.924124,1788283527.939898,1,C
1788283527.974059,1788283528.001387,1,C
1788283528.024013,1788283528.049588,1,A
1788283528.073714,1788283528.094034,1,C
1788283528.123856,1788283528.127859,1,A
1788283528.174087,1788283528.203438,1,C
1788283528.224079,1788283528.252522,1,C
1788283528.273847,1788283528.296833,1,A
1788283528.323736,1788283528.327498,1,A
1788283528.373816,1788283528.377826,1,A
1788283528.423771,1788283528.451436,1,A
1788283528.473670,1788283528.513135,1,A
1788283528.523686,1788283528.544682,1,C
1788283528.573978,1788283528.592636,1,A
1788283528.623810,1788283528.652674,1,A
1788283528.673663,1788283528.714368,1,C
1788283528.724051,1788283528.760927,1,A
