timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884328.262,1788884328.544,1,C,1517,269.71
1788884328.262,1788884328.556,1,A,1517,281.70
1788884328.262,1788884328.420,1,A,1517,144.14
1788884328.262,1788884328.535,1,A,1517,257.49
1788884328.262,1788884328.508,1,B,1517,229.76
1788884328.262,1788884328.558,1,A,1517,279.18
1788884328.262,1788884328.464,1,B,1517,183.78
1788884328.262,1788884328.482,1,B,1517,200.69
1788884328.262,1788884328.551,1,A,1517,269.13
1788884328.262,1788884328.490,1,C,1517,207.31
1788884329.271,1788884329.349,1,C,2602,77.97
1788884329.271,1788884329.364,1,B,2602,91.48
1788884329.271,1788884329.542,1,B,2602,268.33
1788884329.271,1788884329.408,1,B,2602,132.47
1788884329.271,1788884329.384,1,B,2602,105.55
1788884329.271,1788884329.558,1,A,2602,277.34
1788884329.271,1788884329.503,1,B,2602,221.08
1788884329.271,1788884329.393,1,A,2602,108.82
1788884329.271,1788884329.564,1,A,2602,278.09
1788884329.271,1788884329.596,1,B,2602,308.98
1788884329.271,1788884329.609,1,B,2602,320.99
1788884329.271,1788884329.580,1,B,2602,290.72
1788884329.271,1788884329.426,1,A,2602,135.30
1788884329.271,1788884329.536,1,C,2602,243.96
1788884329.271,1788884329.607,1,B,2602,313.22
1788884329.271,1788884329.455,1,C,2602,159.58
1788884329.271,1788884329.599,1,B,2602,300.97
1788884329.271,1788884329.516,1,C,2602,216.04
1788884329.271,1788884329.595,1,B,2602,292.98
1788884329.271,1788884329.591,1,C,2602,288.75
1788884330.279,1788884330.344,1,B,5308,65.52
1788884330.279,1788884330.359,1,A,5308,79.17
1788884330.279,1788884330.588,1,A,5308,307.48
1788884330.279,1788884330.403,1,A,5308,121.64
1788884330.279,1788884330.373,1,A,5308,90.89
1788884330.279,1788884330.507,1,A,5308,223.57
1788884330.279,1788884330.594,1,C,5308,308.60
1788884330.279,1788884330.391,1,C,5308,103.96
1788884330.279,1788884330.594,1,A,5308,306.11
1788884330.279,1788884330.526,1,B,5308,236.32
1788884330.279,1788884330.512,1,B,5308,221.77
1788884330.279,1788884330.519,1,B,5308,226.76
1788884330.279,1788884330.425,1,C,5308,132.12
1788884330.279,1788884330.590,1,B,5308,295.23
1788884330.279,1788884330.452,1,B,5308,156.50
1788884330.279,1788884330.584,1,C,5308,287.38
1788884330.279,1788884330.589,1,A,5308,290.63
1788884330.279,1788884330.593,1,A,5308,292.89
1788884330.279,1788884330.595,1,B,5308,293.10
1788884330.279,1788884330.592,1,A,5308,289.26
1788884331.290,1788884331.360,1,A,1752,69.60
1788884331.290,1788884331.370,1,A,1752,77.91
1788884331.290,1788884331.536,1,B,1752,243.05
1788884331.290,1788884331.414,1,B,1752,119.66
1788884331.290,1788884331.386,1,B,1752,91.19
1788884331.290,1788884331.614,1,C,1752,318.02
1788884331.290,1788884331.471,1,A,1752,174.55
1788884331.290,1788884331.400,1,A,1752,101.74
1788884331.290,1788884331.637,1,A,1752,337.09
1788884331.290,1788884331.595,1,C,1752,294.40
1788884331.290,1788884331.616,1,A,1752,314.31
1788884331.290,1788884331.625,1,C,1752,321.88
1788884331.290,1788884331.440,1,C,1752,136.51
1788884331.290,1788884331.632,1,B,1752,327.03
1788884331.290,1788884331.557,1,A,1752,250.83
1788884331.290,1788884331.639,1,A,1752,331.10
1788884331.290,1788884331.502,1,A,1752,193.09
1788884331.290,1788884331.519,1,C,1752,209.37
1788884331.290,1788884331.572,1,B,1752,261.28
1788884331.290,1788884331.583,1,C,2525,271.87
1788884332.296,1788884332.353,1,C,6788,56.91
1788884332.296,1788884332.372,1,C,6788,74.25
1788884332.296,1788884332.633,1,A,6788,333.52
1788884332.296,1788884332.435,1,A,6788,134.51
1788884332.296,1788884332.395,1,C,6788,92.23
1788884332.296,1788884332.627,1,C,6788,323.93
1788884332.296,1788884332.616,1,C,6788,311.08
1788884332.296,1788884332.417,1,C,6788,111.71
1788884332.296,1788884332.638,1,A,6788,331.60
1788884332.296,1788884332.521,1,A,6788,213.50
1788884332.296,1788884332.541,1,C,6788,232.66
1788884332.296,1788884332.570,1,B,6788,260.57
1788884332.296,1788884332.481,1,B,6788,170.19
1788884332.296,1788884332.590,1,C,6788,278.14
1788884332.296,1788884332.606,1,C,6788,292.61
1788884332.296,1788884332.507,1,A,6788,193.00
1788884332.296,1788884332.562,1,C,6788,246.84
1788884332.296,1788884332.593,1,A,6788,276.66
1788884332.296,1788884332.643,1,B,6788,325.81
1788884332.296,1788884332.623,1,A,6788,305.11
1788884333.304,1788884333.395,1,C,3646,90.92
1788884333.304,1788884333.405,1,C,3646,98.03
1788884333.304,1788884333.662,1,A,3646,353.92
1788884333.304,1788884333.453,1,B,3646,142.90
1788884333.304,1788884333.419,1,A,3646,107.16
1788884333.304,1788884333.666,1,B,3646,350.84
1788884333.304,1788884333.526,1,C,3646,208.75
1788884333.304,1788884333.434,1,B,3646,113.22
1788884333.304,1788884333.595,1,C,3646,271.25
1788884333.304,1788884333.637,1,B,3646,310.77
1788884333.304,1788884333.668,1,C,3646,338.72
1788884333.304,1788884333.666,1,C,3646,335.40
1788884333.304,1788884333.486,1,B,3646,152.60
1788884333.304,1788884333.668,1,C,3646,333.34
1788884333.304,1788884333.670,1,C,3646,333.70
1788884333.304,1788884333.660,1,C,3646,321.41
1788884333.304,1788884333.654,1,C,3646,312.85
1788884333.304,1788884333.564,1,A,3646,220.82
1788884333.304,1788884333.576,1,A,3646,231.57
1788884333.304,1788884333.645,1,C,3646,298.94
1788884334.313,1788884334.385,1,A,9765,71.82
1788884334.313,1788884334.395,1,C,9765,80.29
1788884334.313,1788884334.655,1,B,9765,338.63
1788884334.313,1788884334.438,1,B,9765,120.40
1788884334.313,1788884334.409,1,A,9765,90.42
1788884334.313,1788884334.637,1,B,9765,317.35
1788884334.313,1788884334.472,1,A,9765,151.72
1788884334.313,1788884334.422,1,C,9765,100.72
1788884334.313,1788884334.636,1,C,9765,313.01
1788884334.313,1788884334.561,1,B,9765,237.02
1788884334.313,1788884334.647,1,A,9765,322.12
1788884334.313,1788884334.652,1,B,9765,326.47
1788884334.313,1788884334.453,1,C,9765,126.42
1788884334.313,1788884334.649,1,B,9765,320.55
1788884334.313,1788884334.651,1,A,9765,322.13
1788884334.313,1788884334.649,1,A,9765,319.36
1788884334.313,1788884334.654,1,B,9765,322.50
1788884334.313,1788884334.548,1,A,9765,214.71
1788884334.313,1788884334.567,1,B,9765,232.39
1788884334.313,1788884334.648,1,A,9765,310.74
1788884335.325,1788884335.400,1,C,4490,74.66
1788884335.325,1788884335.411,1,A,4490,84.49
1788884335.325,1788884335.652,1,C,4490,323.19
1788884335.325,1788884335.461,1,A,4490,130.79
1788884335.325,1788884335.427,1,B,4490,95.02
1788884335.325,1788884335.626,1,C,4490,292.05
1788884335.325,1788884335.562,1,A,4490,227.44
1788884335.325,1788884335.444,1,B,4490,107.85
1788884335.325,1788884335.662,1,A,4490,323.87
1788884335.325,1788884335.664,1,B,4490,324.55
1788884335.325,1788884335.698,1,A,4490,356.06
1788884335.325,1788884335.707,1,C,4490,363.76
1788884335.325,1788884335.493,1,A,4490,147.83
1788884335.325,1788884335.703,1,A,4490,355.43
1788884335.325,1788884335.701,1,B,4490,351.85
1788884335.325,1788884335.529,1,A,4490,177.81
1788884335.325,1788884335.595,1,B,4490,242.28
1788884335.325,1788884335.660,1,A,4490,305.61
1788884335.325,1788884335.706,1,B,4490,349.13
1788884335.325,1788884335.668,1,B,4490,310.16
1788884336.331,1788884336.400,1,A,3512,69.07
1788884336.331,1788884336.413,1,B,3512,79.70
1788884336.331,1788884336.622,1,A,3512,288.15
1788884336.331,1788884336.462,1,A,3512,126.93
1788884336.331,1788884336.431,1,A,3512,95.03
1788884336.331,1788884336.727,1,B,3512,389.31
1788884336.331,1788884336.541,1,B,3512,202.30
1788884336.331,1788884336.448,1,B,3512,108.05
1788884336.331,1788884336.714,1,A,3512,373.07
1788884336.331,1788884336.704,1,B,3512,361.46
1788884336.331,1788884336.730,1,A,3512,386.30
1788884336.331,1788884336.638,1,A,3512,293.80
1788884336.331,1788884336.498,1,A,3512,152.79
1788884336.331,1788884336.721,1,C,3512,374.57
1788884336.331,1788884336.668,1,B,3512,320.04
1788884336.331,1788884336.683,1,C,3512,334.00
1788884336.331,1788884336.582,1,A,3512,231.68
1788884336.331,1788884336.604,1,C,3512,252.77
1788884336.331,1788884336.654,1,B,3512,300.80
1788884336.331,1788884336.700,1,A,3512,345.63
1788884337.340,1788884337.406,1,C,8220,66.35
1788884337.340,1788884337.419,1,A,8220,77.09
1788884337.340,1788884337.640,1,C,8220,296.67
1788884337.340,1788884337.464,1,B,8220,119.02
1788884337.340,1788884337.433,1,B,8220,87.15
1788884337.340,1788884337.647,1,B,8220,298.99
1788884337.340,1788884337.553,1,C,8220,204.09
1788884337.340,1788884337.448,1,A,8220,97.97
1788884337.340,1788884337.705,1,A,8220,353.97
1788884337.340,1788884337.701,1,C,8220,349.12
1788884337.340,1788884337.706,1,B,8220,352.50
1788884337.340,1788884337.633,1,A,8220,278.41
1788884337.340,1788884337.493,1,A,8220,136.93
