timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884275.636,1788884275.781,1,A,6493,144.97
1788884275.636,1788884275.844,1,C,6493,171.62
1788884275.636,1788884275.838,1,A,6493,164.40
1788884275.636,1788884275.838,1,B,6493,164.14
1788884275.636,1788884275.838,1,C,6493,163.84
1788884275.636,1788884275.839,1,B,6493,163.58
1788884275.636,1788884275.839,1,C,6493,163.36
1788884275.636,1788884275.839,1,A,6493,163.09
1788884275.636,1788884275.840,1,B,6493,162.88
1788884275.636,1788884275.840,1,B,6493,162.69
1788884275.636,1788884275.840,1,B,6493,162.50
1788884275.636,1788884275.841,1,C,6493,162.31
1788884275.636,1788884275.841,1,B,6493,162.10
1788884275.636,1788884275.841,1,A,6493,161.86
1788884275.636,1788884275.842,1,B,6493,161.67
1788884275.636,1788884275.837,1,B,6493,156.35
1788884275.636,1788884275.837,1,C,6493,156.05
1788884275.636,1788884275.843,1,A,6493,161.14
1788884275.636,1788884275.843,1,B,6493,161.00
1788884275.636,1788884275.844,1,B,6493,160.84
1788884276.650,1788884276.686,1,B,7458,36.81
1788884276.650,1788884276.691,1,A,7458,40.38
1788884276.650,1788884276.768,1,A,7458,116.59
1788884276.650,1788884276.721,1,C,7458,68.93
1788884276.650,1788884276.697,1,C,7458,44.37
1788884276.650,1788884276.789,1,A,7458,135.21
1788884276.650,1788884276.751,1,C,7458,96.54
1788884276.650,1788884276.707,1,B,7458,52.48
1788884276.650,1788884276.805,1,B,7458,149.69
1788884276.650,1788884276.807,1,A,7458,151.08
1788884276.650,1788884276.815,1,A,7458,158.71
1788884276.650,1788884276.814,1,C,7458,156.70
1788884276.650,1788884276.738,1,B,7458,79.89
1788884276.650,1788884276.796,1,B,7458,137.66
1788884276.650,1788884276.820,1,C,7458,160.80
1788884276.650,1788884276.818,1,A,7458,158.13
1788884276.650,1788884276.801,1,B,7458,140.54
1788884276.650,1788884276.762,1,C,7458,101.72
1788884276.650,1788884276.820,1,B,7458,159.11
1788884276.650,1788884276.777,1,A,7458,114.90
1788884277.656,1788884277.712,1,B,3110,55.78
1788884277.656,1788884277.740,1,B,3110,82.28
1788884277.656,1788884277.908,1,A,3110,249.80
1788884277.656,1788884277.822,1,C,3110,162.19
1788884277.656,1788884277.792,1,C,3110,131.81
1788884277.656,1788884277.902,1,A,3110,241.14
1788884277.656,1788884277.834,1,C,3110,172.26
1788884277.656,1788884277.803,1,B,3110,140.49
1788884277.656,1788884277.987,1,A,3110,324.51
1788884277.656,1788884277.933,1,A,3110,269.39
1788884277.656,1788884277.980,1,B,3110,316.05
1788884277.656,1788884277.879,1,A,3110,214.33
1788884277.656,1788884277.985,1,B,3110,320.07
1788884277.656,1788884277.963,1,B,3110,297.40
1788884277.656,1788884277.975,1,B,3110,307.94
1788884277.656,1788884277.858,1,B,3110,191.24
1788884277.656,1788884277.933,1,B,3110,264.72
1788884277.656,1788884277.853,1,B,3110,185.09
1788884277.656,1788884277.959,1,A,3110,290.26
1788884277.656,1788884277.951,1,A,3110,281.84
1788884278.669,1788884278.732,1,A,2511,62.49
1788884278.669,1788884278.750,1,A,2511,79.34
1788884278.669,1788884278.899,1,B,2511,227.14
1788884278.669,1788884278.827,1,C,2511,153.24
1788884278.669,1788884278.773,1,A,2511,98.82
1788884278.669,1788884278.920,1,A,2511,244.85
1788884278.669,1788884278.877,1,A,2511,200.05
1788884278.669,1788884278.789,1,A,2511,111.02
1788884278.669,1788884278.955,1,B,2511,275.48
1788884278.669,1788884278.997,1,C,2511,316.71
1788884278.669,1788884279.001,1,C,2511,319.19
1788884278.669,1788884278.992,1,C,2511,309.65
1788884278.669,1788884278.860,1,A,2511,176.14
1788884278.669,1788884278.995,1,A,2511,310.48
1788884278.669,1788884278.965,1,C,2511,278.86
1788884278.669,1788884278.940,1,B,2511,252.81
1788884278.669,1788884278.896,1,A,2511,206.80
1788884278.669,1788884278.961,1,A,2511,271.16
1788884278.669,1788884278.985,1,C,2511,294.10
1788884278.669,1788884278.979,1,C,2511,286.68
1788884279.679,1788884279.739,1,A,7819,59.53
1788884279.679,1788884279.766,1,A,7819,85.58
1788884279.679,1788884280.044,1,A,7819,362.30
1788884279.679,1788884279.837,1,B,7819,153.70
1788884279.679,1788884279.786,1,A,7819,101.66
1788884279.679,1788884280.080,1,B,7819,395.01
1788884279.679,1788884279.902,1,B,7819,215.42
1788884279.679,1788884279.803,1,A,7819,115.60
1788884279.679,1788884280.007,1,B,7819,318.39
1788884279.679,1788884279.998,1,B,7819,308.74
1788884279.679,1788884279.978,1,B,7819,286.99
1788884279.679,1788884280.022,1,A,7819,329.91
1788884279.679,1788884279.935,1,B,7819,240.87
1788884279.679,1788884279.882,1,A,7819,186.49
1788884279.679,1788884280.030,1,A,7819,332.97
1788884279.679,1788884280.068,1,C,7819,370.02
1788884279.679,1788884280.053,1,A,7819,353.98
1788884279.679,1788884280.074,1,A,7819,372.79
1788884279.679,1788884279.954,1,B,7819,251.09
1788884279.679,1788884280.056,1,A,7819,352.14
1788884280.688,1788884280.754,1,A,2936,66.24
1788884280.688,1788884280.762,1,B,2936,72.99
1788884280.688,1788884281.001,1,A,2936,310.20
1788884280.688,1788884280.821,1,C,2936,129.18
1788884280.688,1788884280.779,1,B,2936,86.07
1788884280.688,1788884280.961,1,B,2936,267.24
1788884280.688,1788884280.881,1,A,2936,186.17
1788884280.688,1788884280.800,1,B,2936,104.25
1788884280.688,1788884280.982,1,C,2936,284.73
1788884280.688,1788884280.991,1,C,2936,292.69
1788884280.688,1788884281.006,1,A,2936,306.81
1788884280.688,1788884280.963,1,A,2936,262.33
1788884280.688,1788884280.856,1,B,2936,154.21
1788884280.688,1788884280.919,1,B,2936,216.08
1788884280.688,1788884280.947,1,C,2936,243.34
1788884280.688,1788884280.989,1,A,2936,284.21
1788884280.688,1788884280.901,1,A,2936,195.62
